shipment_id,product_id,warehouse_id,dispatch_date,weather_conditions,delayed
SH_0,P_29,W_6,2026-01-07,Rain,0
SH_1,P_181,W_6,2026-01-24,Clear,0
SH_2,P_137,W_3,2026-01-23,Snow,1
SH_3,P_170,W_5,2026-01-27,Snow,0
SH_4,P_31,W_4,2026-02-14,Snow,0
SH_5,P_83,W_6,2026-01-12,Snow,1
SH_6,P_49,W_6,2026-01-20,Storm,0
SH_7,P_44,W_9,2026-02-27,Snow,1
SH_8,P_0,W_4,2026-02-28,Snow,1
SH_9,P_148,W_9,2026-01-06,Snow,1
SH_10,P_113,W_3,2026-02-03,Storm,0
SH_11,P_188,W_2,2026-02-15,Clear,1
SH_12,P_169,W_9,2026-02-04,Snow,1
SH_13,P_192,W_3,2026-01-18,Snow,1
SH_14,P_50,W_2,2026-02-04,Clear,1
SH_15,P_121,W_9,2026-03-17,Clear,0
SH_16,P_161,W_9,2026-02-18,Rain,0
SH_17,P_98,W_7,2026-02-27,Storm,1
SH_18,P_167,W_0,2026-03-13,Clear,0
SH_19,P_56,W_2,2026-03-05,Storm,1
SH_20,P_63,W_1,2026-02-01,Storm,1
SH_21,P_118,W_8,2026-01-01,Snow,0
SH_22,P_113,W_9,2026-01-30,Storm,0
SH_23,P_140,W_7,2026-03-04,Rain,0
SH_24,P_121,W_7,2026-03-12,Snow,0
SH_25,P_163,W_4,2026-03-21,Storm,0
SH_26,P_70,W_7,2026-02-04,Clear,0
SH_27,P_60,W_4,2026-03-04,Snow,1
SH_28,P_138,W_1,2026-02-15,Rain,1
SH_29,P_98,W_2,2026-02-20,Rain,1
SH_30,P_104,W_5,2026-01-19,Storm,1
SH_31,P_52,W_6,2026-01-19,Storm,0
SH_32,P_149,W_0,2026-02-06,Storm,0
SH_33,P_90,W_4,2026-01-03,Storm,0
SH_34,P_107,W_8,2026-01-28,Rain,0
SH_35,P_69,W_6,2026-02-26,Storm,1
SH_36,P_86,W_6,2026-02-03,Rain,0
SH_37,P_32,W_9,2026-01-14,Clear,0
SH_38,P_151,W_9,2026-02-08,Clear,1
SH_39,P_109,W_2,2026-01-11,Storm,1
SH_40,P_66,W_6,2026-02-21,Snow,1
SH_41,P_83,W_5,2026-01-03,Storm,1
SH_42,P_107,W_4,2026-02-02,Clear,0
SH_43,P_191,W_8,2026-02-16,Clear,0
SH_44,P_89,W_3,2026-01-03,Clear,0
SH_45,P_166,W_0,2026-02-23,Clear,0
SH_46,P_51,W_0,2026-01-12,Rain,1
SH_47,P_121,W_1,2026-02-08,Rain,0
SH_48,P_65,W_5,2026-01-05,Rain,0
SH_49,P_191,W_1,2026-02-01,Rain,0
SH_50,P_27,W_9,2026-01-18,Clear,0
SH_51,P_147,W_6,2026-01-28,Storm,0
SH_52,P_50,W_1,2026-03-05,Rain,0
SH_53,P_197,W_4,2026-02-01,Clear,0
SH_54,P_144,W_0,2026-03-04,Snow,1
SH_55,P_169,W_5,2026-03-11,Clear,0
SH_56,P_87,W_0,2026-01-21,Storm,0
SH_57,P_27,W_6,2026-01-07,Snow,0
SH_58,P_117,W_2,2026-01-02,Storm,1
SH_59,P_133,W_4,2026-02-14,Storm,0
SH_60,P_187,W_9,2026-03-24,Snow,1
SH_61,P_62,W_1,2026-01-30,Snow,0
SH_62,P_62,W_7,2026-02-23,Storm,1
SH_63,P_126,W_5,2026-03-06,Rain,0
SH_64,P_90,W_4,2026-02-24,Snow,1
SH_65,P_152,W_4,2026-03-04,Clear,0
SH_66,P_48,W_1,2026-03-20,Rain,0
SH_67,P_125,W_8,2026-01-17,Rain,0
SH_68,P_165,W_7,2026-01-02,Storm,0
SH_69,P_23,W_4,2026-01-13,Rain,0
SH_70,P_62,W_4,2026-01-11,Snow,0
SH_71,P_135,W_5,2026-02-25,Storm,0
SH_72,P_140,W_5,2026-02-16,Snow,0
SH_73,P_69,W_4,2026-01-19,Snow,1
SH_74,P_184,W_3,2026-02-28,Snow,1
SH_75,P_137,W_2,2026-03-05,Rain,1
SH_76,P_123,W_4,2026-01-14,Snow,0
SH_77,P_49,W_4,2026-02-20,Rain,0
SH_78,P_77,W_0,2026-03-04,Rain,1
SH_79,P_13,W_8,2026-01-10,Snow,0
SH_80,P_32,W_7,2026-03-10,Clear,0
SH_81,P_146,W_4,2026-03-22,Storm,0
SH_82,P_87,W_2,2026-01-09,Clear,0
SH_83,P_122,W_1,2026-01-03,Clear,0
SH_84,P_18,W_9,2026-01-26,Clear,0
SH_85,P_144,W_4,2026-02-26,Clear,0
SH_86,P_30,W_8,2026-03-21,Storm,0
SH_87,P_158,W_3,2026-02-02,Storm,0
SH_88,P_113,W_4,2026-03-01,Storm,1
SH_89,P_158,W_0,2026-01-07,Clear,0
SH_90,P_53,W_3,2026-02-27,Snow,0
SH_91,P_40,W_3,2026-02-22,Rain,0
SH_92,P_40,W_0,2026-01-09,Storm,1
SH_93,P_152,W_7,2026-03-06,Snow,1
SH_94,P_73,W_4,2026-03-12,Storm,1
SH_95,P_59,W_4,2026-02-19,Rain,0
SH_96,P_139,W_3,2026-01-11,Rain,0
SH_97,P_36,W_1,2026-03-23,Clear,1
SH_98,P_78,W_9,2026-03-06,Snow,1
SH_99,P_119,W_4,2026-01-29,Storm,0
SH_100,P_128,W_8,2026-02-05,Storm,0
SH_101,P_153,W_0,2026-01-31,Storm,0
SH_102,P_154,W_4,2026-02-11,Clear,1
SH_103,P_172,W_9,2026-01-29,Clear,0
SH_104,P_172,W_4,2026-03-12,Clear,0
SH_105,P_44,W_7,2026-03-10,Storm,0
SH_106,P_46,W_9,2026-01-09,Storm,0
SH_107,P_125,W_1,2026-03-21,Storm,1
SH_108,P_85,W_5,2026-02-22,Clear,0
SH_109,P_84,W_6,2026-03-10,Storm,1
SH_110,P_102,W_8,2026-02-28,Clear,0
SH_111,P_80,W_4,2026-02-06,Snow,1
SH_112,P_197,W_6,2026-03-02,Clear,0
SH_113,P_138,W_7,2026-03-22,Storm,1
SH_114,P_132,W_5,2026-01-23,Storm,0
SH_115,P_194,W_0,2026-03-09,Rain,1
SH_116,P_33,W_4,2026-02-14,Storm,0
SH_117,P_124,W_1,2026-02-10,Clear,0
SH_118,P_155,W_3,2026-02-06,Rain,0
SH_119,P_3,W_8,2026-03-02,Storm,1
SH_120,P_29,W_7,2026-01-23,Clear,0
SH_121,P_39,W_7,2026-03-12,Snow,1
SH_122,P_69,W_6,2026-03-10,Storm,0
SH_123,P_62,W_7,2026-01-08,Rain,0
SH_124,P_153,W_8,2026-03-15,Rain,0
SH_125,P_70,W_6,2026-01-21,Snow,0
SH_126,P_129,W_4,2026-02-08,Clear,0
SH_127,P_76,W_9,2026-02-20,Storm,0
SH_128,P_114,W_8,2026-02-01,Storm,1
SH_129,P_141,W_8,2026-01-03,Storm,1
SH_130,P_82,W_3,2026-03-12,Rain,0
SH_131,P_59,W_6,2026-01-16,Clear,0
SH_132,P_121,W_6,2026-01-18,Storm,0
SH_133,P_166,W_2,2026-03-08,Storm,0
SH_134,P_32,W_8,2026-01-29,Snow,0
SH_135,P_112,W_1,2026-03-15,Storm,1
SH_136,P_36,W_6,2026-02-28,Rain,1
SH_137,P_67,W_5,2026-01-23,Storm,0
SH_138,P_84,W_8,2026-01-01,Storm,0
SH_139,P_160,W_7,2026-03-20,Clear,0
SH_140,P_60,W_4,2026-01-08,Rain,0
SH_141,P_111,W_1,2026-03-01,Clear,0
SH_142,P_177,W_4,2026-02-10,Clear,1
SH_143,P_14,W_4,2026-03-04,Snow,1
SH_144,P_37,W_3,2026-02-27,Storm,0
SH_145,P_46,W_2,2026-02-23,Rain,1
SH_146,P_97,W_9,2026-02-10,Rain,0
SH_147,P_149,W_2,2026-03-07,Rain,0
SH_148,P_65,W_7,2026-01-08,Snow,0
SH_149,P_119,W_4,2026-01-19,Rain,1
SH_150,P_88,W_9,2026-02-27,Snow,0
SH_151,P_108,W_4,2026-01-26,Storm,0
SH_152,P_50,W_6,2026-02-18,Storm,1
SH_153,P_97,W_9,2026-02-09,Snow,0
SH_154,P_179,W_4,2026-02-14,Clear,0
SH_155,P_168,W_6,2026-02-05,Snow,1
SH_156,P_175,W_0,2026-03-03,Storm,0
SH_157,P_73,W_3,2026-01-28,Snow,1
SH_158,P_48,W_9,2026-02-28,Snow,0
SH_159,P_184,W_2,2026-01-23,Clear,0
SH_160,P_165,W_0,2026-01-21,Snow,0
SH_161,P_8,W_9,2026-01-11,Snow,0
SH_162,P_23,W_4,2026-01-16,Snow,0
SH_163,P_44,W_3,2026-01-10,Rain,0
SH_164,P_93,W_8,2026-02-14,Snow,0
SH_165,P_65,W_7,2026-03-05,Snow,0
SH_166,P_86,W_1,2026-01-16,Storm,0
SH_167,P_36,W_3,2026-01-18,Storm,0
SH_168,P_142,W_5,2026-02-10,Clear,0
SH_169,P_3,W_4,2026-03-02,Clear,0
SH_170,P_172,W_4,2026-03-23,Storm,0
SH_171,P_95,W_1,2026-02-13,Rain,0
SH_172,P_158,W_8,2026-01-24,Snow,0
SH_173,P_56,W_1,2026-01-09,Storm,0
SH_174,P_77,W_6,2026-01-17,Clear,1
SH_175,P_9,W_4,2026-01-19,Storm,1
SH_176,P_60,W_8,2026-01-15,Rain,0
SH_177,P_94,W_8,2026-01-02,Storm,0
SH_178,P_186,W_2,2026-02-14,Storm,0
SH_179,P_125,W_9,2026-01-23,Storm,0
SH_180,P_71,W_0,2026-03-22,Snow,1
SH_181,P_113,W_3,2026-02-15,Snow,1
SH_182,P_175,W_5,2026-02-27,Snow,1
SH_183,P_70,W_3,2026-01-11,Clear,0
SH_184,P_116,W_1,2026-03-14,Rain,0
SH_185,P_152,W_0,2026-02-10,Clear,0
SH_186,P_62,W_2,2026-03-14,Rain,1
SH_187,P_195,W_8,2026-02-17,Rain,0
SH_188,P_59,W_5,2026-02-08,Rain,0
SH_189,P_152,W_0,2026-02-06,Snow,0
SH_190,P_37,W_2,2026-01-16,Snow,0
SH_191,P_28,W_0,2026-01-05,Rain,1
SH_192,P_60,W_9,2026-03-20,Snow,1
SH_193,P_67,W_0,2026-02-09,Rain,0
SH_194,P_134,W_1,2026-03-10,Clear,0
SH_195,P_199,W_5,2026-02-03,Clear,0
SH_196,P_56,W_9,2026-01-07,Clear,0
SH_197,P_168,W_8,2026-02-22,Snow,1
SH_198,P_7,W_0,2026-01-05,Storm,0
SH_199,P_109,W_1,2026-01-13,Storm,0
SH_200,P_113,W_1,2026-02-16,Clear,0
SH_201,P_37,W_1,2026-01-26,Rain,0
SH_202,P_162,W_9,2026-03-24,Snow,1
SH_203,P_152,W_8,2026-01-10,Snow,0
SH_204,P_154,W_6,2026-03-05,Clear,0
SH_205,P_29,W_8,2026-02-20,Rain,0
SH_206,P_58,W_6,2026-03-07,Snow,0
SH_207,P_102,W_6,2026-01-19,Clear,0
SH_208,P_80,W_4,2026-02-13,Snow,0
SH_209,P_175,W_7,2026-02-07,Clear,1
SH_210,P_21,W_1,2026-02-06,Storm,1
SH_211,P_189,W_5,2026-03-13,Rain,0
SH_212,P_150,W_8,2026-03-24,Snow,0
SH_213,P_105,W_5,2026-01-26,Storm,0
SH_214,P_184,W_0,2026-02-21,Snow,0
SH_215,P_90,W_1,2026-02-20,Rain,1
SH_216,P_123,W_3,2026-03-03,Clear,0
SH_217,P_142,W_5,2026-03-20,Clear,0
SH_218,P_146,W_3,2026-01-18,Storm,0
SH_219,P_196,W_9,2026-01-18,Clear,0
SH_220,P_168,W_4,2026-02-24,Clear,1
SH_221,P_179,W_4,2026-01-14,Snow,1
SH_222,P_46,W_2,2026-01-15,Storm,1
SH_223,P_189,W_0,2026-01-07,Clear,0
SH_224,P_55,W_6,2026-01-01,Storm,0
SH_225,P_40,W_5,2026-02-07,Snow,0
SH_226,P_198,W_9,2026-02-19,Clear,0
SH_227,P_39,W_2,2026-01-25,Clear,0
SH_228,P_69,W_7,2026-01-20,Storm,1
SH_229,P_113,W_6,2026-02-28,Snow,1
SH_230,P_131,W_1,2026-02-28,Snow,0
SH_231,P_72,W_9,2026-02-07,Storm,0
SH_232,P_78,W_0,2026-02-27,Rain,0
SH_233,P_153,W_0,2026-03-18,Clear,0
SH_234,P_54,W_2,2026-03-07,Snow,1
SH_235,P_30,W_0,2026-02-21,Storm,0
SH_236,P_44,W_2,2026-02-24,Storm,1
SH_237,P_58,W_8,2026-03-19,Snow,1
SH_238,P_189,W_0,2026-02-05,Storm,1
SH_239,P_19,W_5,2026-02-15,Storm,0
SH_240,P_181,W_6,2026-02-23,Snow,1
